price,beds,baths,square_feet,address,State/Zip Code,city
"$849,000 ",3,2,"1,272",9616 Halberns Blvd, CA 92071,Santee
"$850,000 ",3,1,"1,484",9208 Arnaz Way, CA 92071,Santee
"$799,900 ",3,1,"1,212",9138 WILLOWGROVE Ave, CA 92071,Santee
"$925,000 ",3,2,"1,392",9134 Inverness Rd, CA 92071,Santee
"$849,000 ",3,2,"1,392",10503 Ironwood Ave, CA 92071,Santee
"$1,285,000 ",4,3,"3,012",10820 Dakota Ranch Rd, CA 92071,Santee
"$759,900 ",3,2,"1,032",9065 Heatherdale St, CA 92071,Santee
"$1,297,900 ",4,3,"2,384",8513 Mesa Heights Rd, CA 92071,Santee
"$1,498,000 ",6,3.5,"3,357",8741 Weston Rd, CA 92071,Santee
"$830,000 ",3,2,"1,092",9548 Abbeyfield Rd, CA 92071,Santee
"$839,000 ",3,2,"1,122",9368 Starcrest Dr, CA 92071,Santee
"$875,000 ",3,3,"1,726",2410 Nielsen St, CA 92020,Santee
"$699,000 ",4,2,"1,694",9703 Lutheran Way, CA 92071,Santee
"$750,000 ",3,2,"1,393",8313 Carlton Oaks Dr, CA 92071,Santee
"$879,000 ",4,2.5,"1,744",8852 Carmir Dr, CA 92071,Santee
"$750,000 ",3,2,"1,177",10019 Settle Rd, CA 92071,Santee
"$1,050,000 ",4,2.5,"2,118",224 Parkside Pl, CA 92071,Santee
"$899,000 ",4,2,"1,646",9985 Delia Ln, CA 92071,Santee
"$685,000 ",3,2,"1,242",9540 Jim, CA 92071,Santee
"$949,000 ",4,2,"1,755",7902 Poplin Dr, CA 92071,Santee
"$869,000 ",4,2,"1,758",9540 Abbeyfield Rd, CA 92071,Santee
"$1,099,000 ",4,2.5,"2,053",8761 Robles Dr, CA 92119,Santee
"$949,000 ",3,2,"1,305",8611 Carlton Oaks Dr, CA 92071,Santee
"$948,000 ",3,2,"1,404",10442 Ken Ln, CA 92071,Santee
"$875,000 ",3,3,"1,760",11054 Columbus St, CA 92071,Santee
"$1,265,000 ",4,3,"2,384",10349 River Blf, CA 92071,Santee
"$899,000 ",4,3,"1,817",10976 Collinwood Dr, CA 92071,Santee
"$759,000 ",3,1.5,"1,104",8793 Railroad Ave, CA 92071,Santee
"$849,000 ",3,2,"2,005",10125 Woodpark Dr, CA 92071,Santee
"$869,900 ",5,2,"1,632",9477 Ronnie Ct, CA 92071,Santee
