price,beds,baths,square_feet,address,city_and_zipcode_scrape,city
"$849,000",3 beds,2 baths,"1,272 sq ft",9616 Halberns Blvd," Santee, CA 92071",Santee
"$850,000",3 beds,1 bath,"1,484 sq ft",9208 Arnaz Way," Santee, CA 92071",Santee
"$799,900",3 beds,1 bath,"1,212 sq ft",9138 WILLOWGROVE Ave," Santee, CA 92071",Santee
"$925,000",3 beds,2 baths,"1,392 sq ft",9134 Inverness Rd," Santee, CA 92071",Santee
"$849,000",3 beds,2 baths,"1,392 sq ft",10503 Ironwood Ave," Santee, CA 92071",Santee
"$1,285,000",4 beds,3 baths,"3,012 sq ft",10820 Dakota Ranch Rd," Santee, CA 92071",Santee
"$759,900",3 beds,2 baths,"1,032 sq ft",9065 Heatherdale St," Santee, CA 92071",Santee
"$1,297,900",4 beds,3 baths,"2,384 sq ft",8513 Mesa Heights Rd," Santee, CA 92071",Santee
"$1,498,000",6 beds,3.5 baths,"3,357 sq ft",8741 Weston Rd," Santee, CA 92071",Santee
"$830,000",3 beds,2 baths,"1,092 sq ft",9548 Abbeyfield Rd," Santee, CA 92071",Santee
"$839,000",3 beds,2 baths,"1,122 sq ft",9368 Starcrest Dr," Santee, CA 92071",Santee
"$875,000",3 beds,3 baths,"1,726 sq ft",2410 Nielsen St," El Cajon, CA 92020",Santee
"$699,000",4 beds,2 baths,"1,694 sq ft",9703 Lutheran Way," Santee, CA 92071",Santee
"$750,000",3 beds,2 baths,"1,393 sq ft",8313 Carlton Oaks Dr," Santee, CA 92071",Santee
"$879,000",4 beds,2.5 baths,"1,744 sq ft",8852 Carmir Dr," Santee, CA 92071",Santee
"$750,000",3 beds,2 baths,"1,177 sq ft",10019 Settle Rd," Santee, CA 92071",Santee
"$1,050,000",4 beds,2.5 baths,"2,118 sq ft",224 Parkside Pl," Santee, CA 92071",Santee
"$899,000",4 beds,2 baths,"1,646 sq ft",9985 Delia Ln," Santee, CA 92071",Santee
"$685,000",3 beds,2 baths,"1,242 sq ft",9540 Jim," Santee, CA 92071",Santee
"$949,000",4 beds,2 baths,"1,755 sq ft",7902 Poplin Dr," Santee, CA 92071",Santee
"$869,000",4 beds,2 baths,"1,758 sq ft",9540 Abbeyfield Rd," Santee, CA 92071",Santee
"$1,099,000",4 beds,2.5 baths,"2,053 sq ft",8761 Robles Dr," San Diego, CA 92119",Santee
"$949,000",3 beds,2 baths,"1,305 sq ft",8611 Carlton Oaks Dr," Santee, CA 92071",Santee
"$948,000",3 beds,2 baths,"1,404 sq ft",10442 Ken Ln," Santee, CA 92071",Santee
"$875,000",3 beds,3 baths,"1,760 sq ft",11054 Columbus St," Santee, CA 92071",Santee
"$1,265,000",4 beds,3 baths,"2,384 sq ft",10349 River Blf," Santee, CA 92071",Santee
